"TranscriptId","TranscriptText"
"1724544735293-5629","""Sebastian introduces himself as the founder and CEO of Brillovoice, a company that provides speech analytics for outside sales and service. Their focus is on analyzing conversations of door-to-door representatives, roofing reps, solar reps, and anyone who speaks face-to-face with customers. The process involves using a mobile app to record customer conversations, which are then analyzed using AI to help improve sales techniques."""
"1724553817558-9497","""Michael is one of the founders of a company called Rela, where he serves as the Chief AI Officer. Rela provides speech analytics for outside sales, analyzing conversations to help sales reps sell more effectively. Michael got into AI somewhat unexpectedly - he was originally studying electrical engineering in college but was struggling academically. After watching the TV show Westworld, he became fascinated with AI and started teaching himself Python and machine learning concepts through online resources.\n\nAs a senior in college, Michael created a music recommendation system that used AI to analyze the actual content of songs, rather than just collaborative filtering. He entered this project into competitions and hackathons, which led to some exciting opportunities. At one event, he ended up presenting to high-profile judges like Jack Selby (PayPal co-founder) and even got connected with Apple Music executives.\n\nMichael emphasized that he had no formal training in AI or computer science. He learned through grinding - watching tutorials, implementing papers, and working on projects. When starting Rela, he spent two years solving the challenging problem of speaker diarization (determining who is speaking and when in an audio recording). Michael values creativity and out-of-the-box thinking when hiring, as the problems they tackle often have no existing solutions.\n\nThe video concluded with a demonstration of an AI-powered accountability coach that Headstarter is developing. It uses conversational AI to check in on users' job search progress, learning goals, and overall wellbeing. Michael was impressed by the speed and capabilities of the system, which the Headstarter team revealed is running on the newly released Llama 3 model."""
"1724548638927-8775","""Hi, I'm Sebastian, the founder and CEO of Rilla Voice. We provide speech analytics for outside sales and service. Our focus is on analyzing conversations of door-to-door representatives, roofing reps, solar reps, and anyone who speaks face-to-face with customers. We use a mobile app to record customer conversations, which are then analyzed using AI to help improve sales techniques.\n\nThe idea for Rilla Voice came from a previous startup where we worked with major brands. We realized that 85% of sales and commerce still happens offline, with limited visibility into these interactions. Understanding what people think by analyzing what they say became the foundation for Rilla Voice.\n\nLet me give you an example using roofing sales. Our analytics revealed key differences between top performers and newer reps. Top performers focused on specific pain points like missing shingles and debris in about 80% of their conversations. This approach made them three to four times more likely to book an appointment compared to newer reps who used different pitching strategies.\n\nAnother crucial insight from our analytics is the importance of the talk ratio - how much the salesperson talks versus the customer. For door-to-door conversations, the ideal talk ratio is around 75-85% for the salesperson. However, for inspections or adjuster meetings, the ratio should decrease to about 50-60%, emphasizing the importance of listening in sales.\n\nAt Rilla Voice, we're committed to providing these valuable insights into offline sales interactions, helping companies improve their sales strategies and performance. Our goal is to bring visibility and data-driven decision making to the world of face-to-face sales, which has been largely overlooked by technology until now."""
"1724553431720-1144","hi guys i'm sebastian founder and ceo of vrilla voice and we build speech analytics to capture insights from the billions of conversations that happen in physical stores uh if you think of a retail sales associative fast food worker bank teller flight attendant these consumer-facing employees wear a microphone connected to their phone from there our ai listens and it captures uh these conversations um and what you'll see here is that it's separating the speakers dealing with the noise and then it comes up with these series of transcripts that we use special text to transcribe so that you see it very clearly and then you get to see a bunch of analytics that we capture with natural language processing and the problem that we are solving here is that for companies that sell and distributed products offline it's very very hard to capture data they have to use focus group surveys and a bunch of mystery shoppers and these roundabout ways of collecting data they're super expensive they have to spend millions of dollars to only get a very very little data and it's very inaccurate and very slow and with this you can empower your business with the millions and millions of conversations that your actual employees are having with actual customers in actual consumption environments um so with that uh i'll wrap it up and thank you guys for listening"
"1724554470431-4483","""Salesperson: Good afternoon, this is Emily from CloudTech Solutions. Am I speaking with Ms. Davis?\n\nMs. Davis: Yes, this is Sarah Davis.\n\nSalesperson: Hi Ms. Davis, I hope I'm not catching you at a bad time. I'm reaching out because I noticed your company recently expanded its operations, and I wanted to discuss how our cloud-based project management software could help streamline your processes. Do you have a few minutes to chat?\n\nMs. Davis: I suppose I can spare a few minutes. What exactly does your software do?\n\nSalesperson: Thank you for your time, Ms. Davis. Our software, CloudProject, is designed to help businesses like yours manage complex projects more efficiently. It offers real-time collaboration, resource allocation, and progress tracking all in one platform. Can you tell me a bit about how your team currently manages projects?\n\nMs. Davis: We're using a combination of spreadsheets and email right now. It works, but it's not ideal, especially with our recent growth.\n\nSalesperson: I see. Many of our clients were in a similar position before switching to CloudProject. What would you say are the biggest challenges you're facing with your current system?\n\nMs. Davis: Well, it's becoming increasingly difficult to keep everyone on the same page. We're wasting time in meetings just trying to figure out who's doing what and what's been completed.\n\nSalesperson: That's a common issue, and it's exactly the kind of problem CloudProject is designed to solve. Our platform provides a central hub where all team members can see task assignments, deadlines, and progress in real-time. How do you think that kind of visibility would impact your team's productivity?\n\nMs. Davis: It could certainly help reduce some of the confusion we're experiencing. How difficult is it to implement and train staff on using it?\n\nSalesperson: Great question. We pride ourselves on making the transition as smooth as possible. We offer a comprehensive onboarding process, including personalized training sessions for your team. Most of our clients find that their teams are up and running comfortably within a week. Would you be interested in seeing a demo of how CloudProject works?\n\nMs. Davis: A demo could be helpful. When could we do that?\n\nSalesperson: I'd be happy to set that up for you. I have some availability tomorrow afternoon or Friday morning. Which would work better for you?\n\nMs. Davis: Friday morning would be preferable.\n\nSalesperson: Excellent. How does 10 AM on Friday sound? I can send you a calendar invite with a link to our video conference platform.\n\nMs. Davis: 10 AM Friday works for me.\n\nSalesperson: Perfect, I'll send that invite right over. Before we wrap up, do you have any other questions about CloudProject or our company?\n\nMs. Davis: Not at the moment, but I'm sure I'll have some during the demo.\n\nSalesperson: Of course. I'll make sure to leave plenty of time for questions during our session. Thank you so much for your time today, Ms. Davis. I'm looking forward to showing you how CloudProject can help streamline your operations on Friday.\n\nMs. Davis: Thank you, Emily. I'll see you then.\n\nSalesperson: Great, have a wonderful rest of your day!"""
"1724545508610-1569","""Sebastian introduces himself as the founder and CEO of Rilla Voice, a company that provides speech analytics for outside sales and service. Their focus is on analyzing conversations of door-to-door representatives, roofing reps, solar reps, and anyone who speaks face-to-face with customers. The process involves using a mobile app to record customer conversations, which are then analyzed using AI to help improve sales techniques.\n  \n  Sebastian explains that the idea for Rilla Voice came from a previous startup where they worked with major brands. They realized that 85% of sales and commerce still happens offline, with limited visibility into these interactions. Understanding what people think by analyzing what they say became the foundation for Rilla Voice.\n  \n  Using roofing sales as an example, Sebastian describes how their analytics revealed key differences between top performers and newer reps. Top performers focused on specific pain points like missing shingles and debris in about 80% of their conversations. This approach made them three to four times more likely to book an appointment compared to newer reps who used different pitching strategies.\n  \n  Another crucial insight from their analytics is the importance of the talk ratio - how much the salesperson talks versus the customer. For door-to-door conversations, the ideal talk ratio is around 75-85% for the salesperson. However, for inspections or adjuster meetings, the ratio should decrease to about 50-60%, emphasizing the importance of listening in sales."""
"1724544574964-7649","I got it done"
"1724546754570-1029","""Sebastian: Hi, I'm Sebastian, the founder and CEO of Rilla Voice. We provide speech analytics for outside sales and service. Our focus is on analyzing conversations of door-to-door representatives, roofing reps, solar reps, and anyone who speaks face-to-face with customers. We use a mobile app to record customer conversations, which are then analyzed using AI to help improve sales techniques.\n\nThe idea for Rilla Voice came from a previous startup where we worked with major brands. We realized that 85% of sales and commerce still happens offline, with limited visibility into these interactions. Understanding what people think by analyzing what they say became the foundation for Rilla Voice.\n\nLet me give you an example using roofing sales. Our analytics revealed key differences between top performers and newer reps. Top performers focused on specific pain points like missing shingles and debris in about 80% of their conversations. This approach made them three to four times more likely to book an appointment compared to newer reps who used different pitching strategies.\n\nAnother crucial insight from our analytics is the importance of the talk ratio - how much the salesperson talks versus the customer. For door-to-door conversations, the ideal talk ratio is around 75-85% for the salesperson. However, for inspections or adjuster meetings, the ratio should decrease to about 50-60%, emphasizing the importance of listening in sales.\n\nAt Rilla Voice, we're committed to providing these valuable insights into offline sales interactions, helping companies improve their sales strategies and performance. Our goal is to bring visibility and data-driven decision making to the world of face-to-face sales, which has been largely overlooked by technology until now."""
"1724553815077-2446","""Michael is one of the founders of a company called Rela, where he serves as the Chief AI Officer. Rela provides speech analytics for outside sales, analyzing conversations to help sales reps sell more effectively. Michael got into AI somewhat unexpectedly - he was originally studying electrical engineering in college but was struggling academically. After watching the TV show Westworld, he became fascinated with AI and started teaching himself Python and machine learning concepts through online resources.\n\nAs a senior in college, Michael created a music recommendation system that used AI to analyze the actual content of songs, rather than just collaborative filtering. He entered this project into competitions and hackathons, which led to some exciting opportunities. At one event, he ended up presenting to high-profile judges like Jack Selby (PayPal co-founder) and even got connected with Apple Music executives.\n\nMichael emphasized that he had no formal training in AI or computer science. He learned through grinding - watching tutorials, implementing papers, and working on projects. When starting Rela, he spent two years solving the challenging problem of speaker diarization (determining who is speaking and when in an audio recording). Michael values creativity and out-of-the-box thinking when hiring, as the problems they tackle often have no existing solutions.\n\nThe video concluded with a demonstration of an AI-powered accountability coach that Headstarter is developing. It uses conversational AI to check in on users' job search progress, learning goals, and overall wellbeing. Michael was impressed by the speed and capabilities of the system, which the Headstarter team revealed is running on the newly released Llama 3 model."""
"1724554471484-9396","""Salesperson: Good afternoon, this is Emily from CloudTech Solutions. Am I speaking with Ms. Davis?\n\nMs. Davis: Yes, this is Sarah Davis.\n\nSalesperson: Hi Ms. Davis, I hope I'm not catching you at a bad time. I'm reaching out because I noticed your company recently expanded its operations, and I wanted to discuss how our cloud-based project management software could help streamline your processes. Do you have a few minutes to chat?\n\nMs. Davis: I suppose I can spare a few minutes. What exactly does your software do?\n\nSalesperson: Thank you for your time, Ms. Davis. Our software, CloudProject, is designed to help businesses like yours manage complex projects more efficiently. It offers real-time collaboration, resource allocation, and progress tracking all in one platform. Can you tell me a bit about how your team currently manages projects?\n\nMs. Davis: We're using a combination of spreadsheets and email right now. It works, but it's not ideal, especially with our recent growth.\n\nSalesperson: I see. Many of our clients were in a similar position before switching to CloudProject. What would you say are the biggest challenges you're facing with your current system?\n\nMs. Davis: Well, it's becoming increasingly difficult to keep everyone on the same page. We're wasting time in meetings just trying to figure out who's doing what and what's been completed.\n\nSalesperson: That's a common issue, and it's exactly the kind of problem CloudProject is designed to solve. Our platform provides a central hub where all team members can see task assignments, deadlines, and progress in real-time. How do you think that kind of visibility would impact your team's productivity?\n\nMs. Davis: It could certainly help reduce some of the confusion we're experiencing. How difficult is it to implement and train staff on using it?\n\nSalesperson: Great question. We pride ourselves on making the transition as smooth as possible. We offer a comprehensive onboarding process, including personalized training sessions for your team. Most of our clients find that their teams are up and running comfortably within a week. Would you be interested in seeing a demo of how CloudProject works?\n\nMs. Davis: A demo could be helpful. When could we do that?\n\nSalesperson: I'd be happy to set that up for you. I have some availability tomorrow afternoon or Friday morning. Which would work better for you?\n\nMs. Davis: Friday morning would be preferable.\n\nSalesperson: Excellent. How does 10 AM on Friday sound? I can send you a calendar invite with a link to our video conference platform.\n\nMs. Davis: 10 AM Friday works for me.\n\nSalesperson: Perfect, I'll send that invite right over. Before we wrap up, do you have any other questions about CloudProject or our company?\n\nMs. Davis: Not at the moment, but I'm sure I'll have some during the demo.\n\nSalesperson: Of course. I'll make sure to leave plenty of time for questions during our session. Thank you so much for your time today, Ms. Davis. I'm looking forward to showing you how CloudProject can help streamline your operations on Friday.\n\nMs. Davis: Thank you, Emily. I'll see you then.\n\nSalesperson: Great, have a wonderful rest of your day!"""
